"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"344C7834 2021-08-03 17:03:00","344C7834","2021-08-03","17:03:00",3,411491.077181695,4261047.70884676,409679.081737138,413303.072626253,4259761.02179107,4262334.39590244
"344C7834 2021-08-03 17:06:00","344C7834","2021-08-03","17:06:00",3,411492.638205115,4261010.86211695,409834.889855073,413150.386555157,4259850.45732052,4262171.26691337
"344C7834 2021-08-03 17:09:00","344C7834","2021-08-03","17:09:00",3,411433.582239792,4260948.18500619,410743.193072624,412123.971406961,4260133.99598011,4261762.37403226
"344C7834 2021-08-03 17:12:00","344C7834","2021-08-03","17:12:00",6,411535.056587127,4261547.51937717,411481.678564863,411588.434609392,4261493.5026632,4261601.53609115
"344C7834 2021-08-03 17:15:00","344C7834","2021-08-03","17:15:00",5,411136.843137365,4261784.1532473,410979.231140827,411294.455133902,4261601.60123885,4261966.70525574
"344C7834 2021-08-03 17:18:00","344C7834","2021-08-03","17:18:00",5,411092.593745598,4261693.05467944,410830.042369041,411355.145122155,4261349.65056212,4262036.45879675
"344C7834 2021-08-03 17:21:00","344C7834","2021-08-03","17:21:00",5,411104.400133782,4261198.16496675,410883.086817938,411325.713449626,4260975.59234148,4261420.73759202
"344C7834 2021-08-03 17:36:00","344C7834","2021-08-03","17:36:00",7,410998.807053462,4261734.02150667,410882.427697728,411115.186409196,4261601.89537746,4261866.14763588
"344C7834 2021-08-03 17:39:00","344C7834","2021-08-03","17:39:00",5,410994.318781232,4261806.82668622,410846.663834747,411141.973727716,4261681.67554657,4261931.97782587
"344C7834 2021-08-03 17:42:00","344C7834","2021-08-03","17:42:00",7,411097.936343525,4261894.27246885,410947.967200346,411247.905486705,4261725.40119026,4262063.14374744
"344C7834 2021-08-03 17:45:00","344C7834","2021-08-03","17:45:00",7,410895.816400025,4261888.97648448,410733.243315631,411058.389484419,4261727.6564137,4262050.29655527
"344C7834 2021-08-03 17:48:00","344C7834","2021-08-03","17:48:00",5,410719.041816077,4261866.0450521,410525.127323522,410912.956308632,4261665.35363141,4262066.73647278
"344C7834 2021-08-03 17:51:00","344C7834","2021-08-03","17:51:00",5,410808.052201277,4262067.09405601,410661.491796196,410954.612606359,4261914.67144458,4262219.51666745
"344C7834 2021-08-04 16:12:00","344C7834","2021-08-04","16:12:00",4,411778.5495009,4261495.50464746,411647.894008677,411909.204993122,4261255.95971728,4261735.04957765
"344C7834 2021-08-04 16:15:00","344C7834","2021-08-04","16:15:00",3,411804.38044615,4261492.00659702,411596.031497382,412012.729394918,4260888.50273742,4262095.51045662
"344C7834 2021-08-04 16:21:00","344C7834","2021-08-04","16:21:00",3,411795.022074051,4261461.85107632,411545.688270198,412044.355877904,4260882.68917721,4262041.01297544
"344C7834 2021-08-04 16:24:00","344C7834","2021-08-04","16:24:00",3,411799.953629677,4261512.81093702,411506.039910803,412093.867348552,4260615.16414219,4262410.45773185
"344C7834 2021-08-04 16:30:00","344C7834","2021-08-04","16:30:00",3,411628.396727403,4261651.24748583,411560.658338762,411696.135116044,4261605.37810904,4261697.11686261
"344C7834 2021-08-04 16:33:00","344C7834","2021-08-04","16:33:00",4,411603.476872292,4261514.88776113,411411.022733735,411795.93101085,4261328.51676535,4261701.25875692
"344C7834 2021-08-04 16:36:00","344C7834","2021-08-04","16:36:00",4,411573.017713193,4261543.4090285,411240.177686949,411905.857739436,4261212.47941259,4261874.3386444
"344C7834 2021-08-04 16:39:00","344C7834","2021-08-04","16:39:00",7,411473.447919147,4261613.5877104,411297.101180871,411649.794657424,4261462.7264285,4261764.44899231
"344C7834 2021-08-04 16:42:00","344C7834","2021-08-04","16:42:00",7,411485.916678053,4261620.62914317,411306.719424588,411665.113931518,4261465.20396881,4261776.05431753
"344C7834 2021-08-04 16:45:00","344C7834","2021-08-04","16:45:00",7,411512.245724875,4261638.01664078,411301.436275921,411723.055173829,4261451.98687891,4261824.04640265
"344C7834 2021-08-04 16:48:00","344C7834","2021-08-04","16:48:00",5,411243.481289433,4261735.73931435,411129.238133599,411357.724445268,4261572.00157107,4261899.47705763
"344C7834 2021-08-04 16:51:00","344C7834","2021-08-04","16:51:00",4,411226.064974303,4261792.53618249,411122.979892747,411329.150055859,4261665.28483471,4261919.78753026
"344C7834 2021-08-04 16:54:00","344C7834","2021-08-04","16:54:00",4,411218.193538105,4261790.32621463,411092.090102275,411344.296973935,4261635.51994187,4261945.13248738
"344C7834 2021-08-04 16:57:00","344C7834","2021-08-04","16:57:00",7,411199.152801932,4261775.00909659,411082.36345043,411315.942153434,4261666.15088942,4261883.86730377
"344C7834 2021-08-04 17:00:00","344C7834","2021-08-04","17:00:00",6,411235.67938483,4261792.07942648,411092.281668488,411379.077101172,4261672.07875552,4261912.08009744
"344C7834 2021-08-04 17:03:00","344C7834","2021-08-04","17:03:00",4,411277.951501003,4261710.57951254,410655.607796566,411900.29520544,4261196.66329921,4262224.49572586
"344C7834 2021-08-04 17:06:00","344C7834","2021-08-04","17:06:00",4,411299.632541069,4261798.96285798,410900.759071167,411698.506010971,4261454.19639515,4262143.72932081
"344C7834 2021-08-04 17:09:00","344C7834","2021-08-04","17:09:00",7,411221.752956351,4261875.46828164,411115.489279759,411328.016632943,4261756.12136485,4261994.81519843
"344C7834 2021-08-04 17:12:00","344C7834","2021-08-04","17:12:00",5,411160.276976692,4261988.2355412,410996.678622095,411323.87533129,4261848.24812492,4262128.22295748
"344C7834 2021-08-04 17:15:00","344C7834","2021-08-04","17:15:00",5,411156.061837417,4261990.49839657,411002.342875116,411309.780799719,4261859.3650436,4262121.63174954
"344C7834 2021-08-04 17:18:00","344C7834","2021-08-04","17:18:00",6,411154.609108285,4261984.3494435,411018.59828306,411290.61993351,4261864.25598662,4262104.44290038
"344C7834 2021-08-04 17:21:00","344C7834","2021-08-04","17:21:00",7,411199.633200279,4262055.46905471,411068.645724721,411330.620675837,4261906.00336337,4262204.93474606
"344C7834 2021-08-04 17:24:00","344C7834","2021-08-04","17:24:00",7,411153.401678528,4262064.53587518,411004.717474005,411302.08588305,4261902.41351856,4262226.65823179
"344C7834 2021-08-04 17:27:00","344C7834","2021-08-04","17:27:00",7,411158.447842033,4262062.47071811,411018.397102251,411298.498581814,4261909.49126317,4262215.45017305
"344C7834 2021-08-04 17:30:00","344C7834","2021-08-04","17:30:00",7,411149.623962404,4262069.57192408,411042.178905378,411257.06901943,4261955.39251199,4262183.75133617
"344C7834 2021-08-04 17:33:00","344C7834","2021-08-04","17:33:00",5,411197.936374531,4261822.26945557,410790.190553198,411605.682195865,4261424.52750347,4262220.01140767
"344C7834 2021-08-04 17:36:00","344C7834","2021-08-04","17:36:00",5,411187.592404317,4261834.91697505,410888.078740071,411487.106068562,4261527.39132922,4262142.44262088
"344C7834 2021-08-04 17:39:00","344C7834","2021-08-04","17:39:00",7,411213.514243828,4262024.34581666,411105.611943154,411321.416544501,4261914.37835927,4262134.31327404
"344C7834 2021-08-04 17:42:00","344C7834","2021-08-04","17:42:00",6,411109.983265123,4262058.06526944,411057.980995793,411161.985534453,4262006.94932305,4262109.18121583
"344C7834 2021-08-04 17:45:00","344C7834","2021-08-04","17:45:00",5,411102.306471516,4262167.33375125,410906.018537847,411298.594405185,4261954.92599084,4262379.74151166
"344C7834 2021-08-04 17:48:00","344C7834","2021-08-04","17:48:00",5,411089.476324562,4262187.86899033,410858.049745463,411320.902903661,4261943.11339459,4262432.62458606
"344C7834 2021-08-04 17:51:00","344C7834","2021-08-04","17:51:00",7,411198.085951301,4262116.09686576,411078.130556831,411318.041345771,4262010.95217257,4262221.24155895
"344C7834 2021-08-04 17:54:00","344C7834","2021-08-04","17:54:00",5,411067.642334258,4262202.0092136,410839.698699898,411295.585968618,4261967.09006807,4262436.92835914
"344C7834 2021-08-04 17:57:00","344C7834","2021-08-04","17:57:00",5,410982.396646903,4262206.76409375,410894.76004701,411070.033246796,4262084.87740237,4262328.65078512
"344C7834 2021-08-04 18:00:00","344C7834","2021-08-04","18:00:00",5,410945.534509172,4262272.5828606,410718.811834416,411172.257183928,4261935.92313515,4262609.24258606
"344C7834 2021-08-04 18:03:00","344C7834","2021-08-04","18:03:00",5,411018.927886331,4262215.40184315,410882.641774121,411155.21399854,4262029.29732095,4262401.50636534
"344C7834 2021-08-04 18:06:00","344C7834","2021-08-04","18:06:00",6,411028.67206543,4262008.15465951,410922.967074836,411134.377056024,4261919.67231487,4262096.63700416
"344C7834 2021-08-04 18:09:00","344C7834","2021-08-04","18:09:00",6,410994.224905162,4261800.32313303,410369.511662265,411618.93814806,4261404.50539603,4262196.14087002
"344C7834 2021-08-04 18:12:00","344C7834","2021-08-04","18:12:00",7,410908.215435503,4261922.37983209,410751.031033998,411065.399837008,4261757.0386038,4262087.72106037
